model_id,domain,arch,scale,distribution,seed,held_out,config,checkpoint,status,notes
maps_lstm_small_random_walks_s0,maps,lstm,small,random_walks,0,no,configs/runs/maps_lstm_small_random_walks_s0.yaml,checkpoints/maps_lstm_small_random_walks_s0/model.pt,planned,
maps_lstm_small_random_walks_s1,maps,lstm,small,random_walks,1,no,configs/runs/maps_lstm_small_random_walks_s1.yaml,checkpoints/maps_lstm_small_random_walks_s1/model.pt,planned,
maps_lstm_small_random_walks_s2,maps,lstm,small,random_walks,2,no,configs/runs/maps_lstm_small_random_walks_s2.yaml,checkpoints/maps_lstm_small_random_walks_s2/model.pt,planned,
maps_lstm_medium_shortest_paths_s0,maps,lstm,medium,shortest_paths,0,no,configs/runs/maps_lstm_medium_shortest_paths_s0.yaml,checkpoints/maps_lstm_medium_shortest_paths_s0/model.pt,planned,
maps_lstm_medium_shortest_paths_s1,maps,lstm,medium,shortest_paths,1,no,configs/runs/maps_lstm_medium_shortest_paths_s1.yaml,checkpoints/maps_lstm_medium_shortest_paths_s1/model.pt,planned,
maps_lstm_medium_shortest_paths_s2,maps,lstm,medium,shortest_paths,2,no,configs/runs/maps_lstm_medium_shortest_paths_s2.yaml,checkpoints/maps_lstm_medium_shortest_paths_s2/model.pt,planned,
maps_lstm_medium_noisy_shortest_paths_s0,maps,lstm,medium,noisy_shortest_paths,0,no,configs/runs/maps_lstm_medium_noisy_shortest_paths_s0.yaml,checkpoints/maps_lstm_medium_noisy_shortest_paths_s0/model.pt,planned,
maps_lstm_medium_noisy_shortest_paths_s1,maps,lstm,medium,noisy_shortest_paths,1,no,configs/runs/maps_lstm_medium_noisy_shortest_paths_s1.yaml,checkpoints/maps_lstm_medium_noisy_shortest_paths_s1/model.pt,planned,
maps_lstm_medium_noisy_shortest_paths_s2,maps,lstm,medium,noisy_shortest_paths,2,no,configs/runs/maps_lstm_medium_noisy_shortest_paths_s2.yaml,checkpoints/maps_lstm_medium_noisy_shortest_paths_s2/model.pt,planned,
maps_lstm_medium_random_walks_s0,maps,lstm,medium,random_walks,0,no,configs/runs/maps_lstm_medium_random_walks_s0.yaml,checkpoints/maps_lstm_medium_random_walks_s0/model.pt,planned,
maps_lstm_medium_random_walks_s1,maps,lstm,medium,random_walks,1,no,configs/runs/maps_lstm_medium_random_walks_s1.yaml,checkpoints/maps_lstm_medium_random_walks_s1/model.pt,planned,
maps_lstm_medium_random_walks_s2,maps,lstm,medium,random_walks,2,no,configs/runs/maps_lstm_medium_random_walks_s2.yaml,checkpoints/maps_lstm_medium_random_walks_s2/model.pt,planned,
maps_lstm_large_shortest_paths_s0,maps,lstm,large,shortest_paths,0,no,configs/runs/maps_lstm_large_shortest_paths_s0.yaml,checkpoints/maps_lstm_large_shortest_paths_s0/model.pt,planned,
maps_lstm_large_shortest_paths_s1,maps,lstm,large,shortest_paths,1,no,configs/runs/maps_lstm_large_shortest_paths_s1.yaml,checkpoints/maps_lstm_large_shortest_paths_s1/model.pt,planned,
maps_lstm_large_shortest_paths_s2,maps,lstm,large,shortest_paths,2,no,configs/runs/maps_lstm_large_shortest_paths_s2.yaml,checkpoints/maps_lstm_large_shortest_paths_s2/model.pt,planned,
maps_lstm_large_noisy_shortest_paths_s0,maps,lstm,large,noisy_shortest_paths,0,no,configs/runs/maps_lstm_large_noisy_shortest_paths_s0.yaml,checkpoints/maps_lstm_large_noisy_shortest_paths_s0/model.pt,planned,
maps_lstm_large_noisy_shortest_paths_s1,maps,lstm,large,noisy_shortest_paths,1,no,configs/runs/maps_lstm_large_noisy_shortest_paths_s1.yaml,checkpoints/maps_lstm_large_noisy_shortest_paths_s1/model.pt,planned,
maps_lstm_large_noisy_shortest_paths_s2,maps,lstm,large,noisy_shortest_paths,2,no,configs/runs/maps_lstm_large_noisy_shortest_paths_s2.yaml,checkpoints/maps_lstm_large_noisy_shortest_paths_s2/model.pt,planned,
maps_lstm_large_random_walks_s0,maps,lstm,large,random_walks,0,no,configs/runs/maps_lstm_large_random_walks_s0.yaml,checkpoints/maps_lstm_large_random_walks_s0/model.pt,planned,
maps_lstm_large_random_walks_s1,maps,lstm,large,random_walks,1,no,configs/runs/maps_lstm_large_random_walks_s1.yaml,checkpoints/maps_lstm_large_random_walks_s1/model.pt,planned,
maps_lstm_large_random_walks_s2,maps,lstm,large,random_walks,2,no,configs/runs/maps_lstm_large_random_walks_s2.yaml,checkpoints/maps_lstm_large_random_walks_s2/model.pt,planned,
maps_mamba_small_shortest_paths_s0,maps,mamba,small,shortest_paths,0,yes,configs/runs/maps_mamba_small_shortest_paths_s0.yaml,checkpoints/maps_mamba_small_shortest_paths_s0/model.pt,planned,
maps_mamba_small_shortest_paths_s1,maps,mamba,small,shortest_paths,1,yes,configs/runs/maps_mamba_small_shortest_paths_s1.yaml,checkpoints/maps_mamba_small_shortest_paths_s1/model.pt,planned,
maps_mamba_small_shortest_paths_s2,maps,mamba,small,shortest_paths,2,yes,configs/runs/maps_mamba_small_shortest_paths_s2.yaml,checkpoints/maps_mamba_small_shortest_paths_s2/model.pt,planned,
maps_mamba_small_noisy_shortest_paths_s0,maps,mamba,small,noisy_shortest_paths,0,yes,configs/runs/maps_mamba_small_noisy_shortest_paths_s0.yaml,checkpoints/maps_mamba_small_noisy_shortest_paths_s0/model.pt,planned,
maps_mamba_small_noisy_shortest_paths_s1,maps,mamba,small,noisy_shortest_paths,1,yes,configs/runs/maps_mamba_small_noisy_shortest_paths_s1.yaml,checkpoints/maps_mamba_small_noisy_shortest_paths_s1/model.pt,planned,
